case_number,court,chamber,debtor_name,debtor_cnpj,filing_date,stage,administrator_name,administrator_cnpj,source_url,extracted_at,extracted_by
0000357-17.2024.8.16.0131,TJPR,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,Destro Comercio De Alimentos LTDA,,2024-01-12,ACTIVE,marquesadmjudicial.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0000410-68.2021.8.16.0174,TJPR,CURITIBA - 24ª VARA CÍVEL,- FORMAPLAN FORMASPLANEJADAS INDÚSTRIA E COMÉRCIO LTDA,,2021-01-22,ACTIVE,marquesadmjudicial.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0000630-68.2026.8.16.0149,TJPR,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,"TRANSPORTE RODOAJA LTDA., TRANSPORTE DE CARGAS AJA LTDA. e WERLANG TRANSPORTES RODOVIÁRIOS LTDA | Administração Judicial - Credibilità",,2026-02-24,ACTIVE,credibilita.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0000721-61.2024.8.17.2620,TJPE,VARA ÚNICA DA COMARCA DE FLORESTA,"em litisconsórcio ativo, conforme entendimento jurisprudencia",,2024-05-13,ACTIVE,lrflideres.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0000880-57.2020.8.17.2001,TJPE,20ª VARA CÍVEL DA CAPITAL - SEÇÃO A,CONSTRUTORA ANDRADE GUEDES LDTA – Diligence Administração em Recuperação Judicial e Falência,,2020-01-08,ACTIVE,diligence.adm.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0000890-94.2021.8.17.3350,TJPE,1ª VARA CÍVEL DA COMARCA DE SÃO LOURENÇO DA MATA,e Falência,,2021-05-05,ACTIVE,lrflideres.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0001154-67.2026.8.16.0019,TJPR,CURITIBA - 24ª VARA CÍVEL,e a terceiros interessa,,2026-01-13,ACTIVE,credibilita.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0001217-89.2020.8.16.0185,TJPR,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,que lhe possibilitará replanejar o perfil de seus compromissos e sa,,2020-02-27,ACTIVE,credibilita.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0001324-92.2023.8.17.2710,TJPE,2ª VARA CÍVEL DA COMARCA DE IGARASSU,ONDUNORTE CIA DE PAPEIS E PAPELAO ONDULADO DO NORTE e outras - Vivante Gestão e Administração Judicial,,2023-03-13,ACTIVE,vivanteaj.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0001639-09.2026.8.17.2810,TJPE,7ª VARA CÍVEL DA COMARCA DE JABOATÃO DOS GUARARAPES,E FALENCIA,,2026-01-26,ACTIVE,recuperasolucoes.com,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0001776-49.2023.8.17.2760,TJPE,VARA ÚNICA DA COMARCA DE ITAMARACÁ,GRUPO SUPERMERCADO PATRÍCIA,,2023-12-21,ACTIVE,recuperasolucoes.com,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0001943-40.2024.8.16.0115,TJPR,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,"no prazo de 776, sa",,2024-06-17,ACTIVE,marquesadmjudicial.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0002325-43.2026.8.17.2990,TJPE,4ª VARA CÍVEL DA COMARCA DE OLINDA,GRUPO MEDITERRÂNEA - Recupera Soluções Empresariais,,2026-01-20,ACTIVE,recuperasolucoes.com,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0002484-82.2022.8.17.2001,TJPE,30ª VARA CÍVEL DA CAPITAL - SEÇÃO B,em que figuram como demandantes CATÃO & CIA,,2022-01-10,ACTIVE,lrflideres.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-03T22:42:10Z,datajud-loader
0002662-05.2024.8.16.0056,TJPR,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,Agropecuária Ferti LTDA | Administração Judicial - Credibilità,,2024-03-21,ACTIVE,credibilita.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
0003679-79.2026.8.16.0194,TJPR,CURITIBA - 1ª VARA DE FALÊNCIAS E RECUPERAÇÕES JUDICIAIS,Fasttel Engenharia S.A. | Administração Judicial - Credibilità,,2026-03-05,ACTIVE,credibilita.com.br,,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-03T22:42:49Z,datajud-loader
