cnpj_basico,razao_social,natureza_juridica,porte,situacao_cadastral,cnae_principal,uf,municipio,phone,email,is_bank,is_public,is_inactive,rfb_source,rfb_fetched_at,extracted_at,extracted_by
00000000,BANCO DO BRASIL SA,2038,DEMAIS,02,6422100,DF,BRASILIA,6134939002,,1,0,0,minhareceita,2026-09-03T23:42:08Z,2026-09-03T23:42:08Z,enrich
00029372,GE HEALTHCARE DO BRASIL COMERCIO E SERVICOS PARA EQUIPAMENTOS MEDICO-HOSPITALARES LTDA,2062,DEMAIS,02,4664800,SP,SAO PAULO,1130678181,,0,0,0,minhareceita,2026-09-03T23:40:10Z,2026-09-03T23:40:10Z,enrich
00052803,PEDREIRA ARAGUAIA LTDA,2062,DEMAIS,02,810099,GO,APARECIDA DE GOIANIA,6232848484,,0,0,0,minhareceita,2026-09-04T00:06:19Z,2026-09-04T00:06:19Z,enrich
00056013,LA GESTAO LTDA.,2062,DEMAIS,02,6810202,MG,BELO HORIZONTE,3132711471,,0,0,0,minhareceita,2026-09-03T23:45:41Z,2026-09-03T23:45:41Z,enrich
00073757,GETTI QUIMICA LTDA,2062,DEMAIS,02,2099199,RS,NOVO HAMBURGO,5135533355,,0,0,0,minhareceita,2026-09-03T23:41:44Z,2026-09-03T23:41:44Z,enrich
00153282,CESDE INDUSTRIA E COMERCIO DE ELETRODOMESTICOS LTDA,2062,DEMAIS,02,2759799,CE,MARANGUAPE,8540113800,,0,0,0,minhareceita,2026-09-03T23:41:59Z,2026-09-03T23:41:59Z,enrich
00199741,"DH ADMINISTRACAO, PARTICIPACOES E EMPREENDIMENTOS LTDA",2062,EMPRESA DE PEQUENO PORTE,02,6463800,MG,OURO BRANCO,3196386001,,1,0,0,minhareceita,2026-09-03T23:46:18Z,2026-09-03T23:46:18Z,enrich
00210633,UNIPETRO NOVA ANDRADINA DISTRIBUIDORA DE PETROLEO LTDA,2062,DEMAIS,02,4681802,MS,NOVA ANDRADINA,1139904090,,0,0,0,minhareceita,2026-09-03T23:40:00Z,2026-09-03T23:40:00Z,enrich
00266662,TRANSPORTADORA FILINHO DE BOM JARDIM LTDA,2062,DEMAIS,04,4930202,RJ,SAO GONCALO,1141410061,,0,0,1,minhareceita,2026-09-03T23:47:06Z,2026-09-03T23:47:06Z,enrich
00303732,INDUSTRIA DE MOVEIS NOTAVEL LTDA,2062,DEMAIS,02,3101200,PR,AMPERE,4635472565,,0,0,0,minhareceita,2026-09-03T23:44:58Z,2026-09-03T23:44:58Z,enrich
00327501,"GUAIANAS - TRANSPORTES, MINERACAO, TRATAMENTO E REFINO DE OLEO LTDA",2062,DEMAIS,02,4930202,PR,NOVA ESPERANCA,4432522688,,0,0,0,minhareceita,2026-09-03T23:41:06Z,2026-09-03T23:41:06Z,enrich
00331788,AIR LIQUIDE BRASIL LTDA,2062,DEMAIS,02,2014200,SP,SAO PAULO,1155098300,,0,0,0,minhareceita,2026-09-03T23:42:24Z,2026-09-03T23:42:24Z,enrich
00360305,CAIXA ECONOMICA FEDERAL,2011,DEMAIS,02,6423900,DF,BRASILIA,0040040104,,1,0,0,minhareceita,2026-09-03T23:44:37Z,2026-09-03T23:44:37Z,enrich
00399857,COMPANHIA DE DESENVOLVIMENTO DOS VALES DO SAO FRANCISCO E DO PARNAIBA,2011,DEMAIS,02,8411600,DF,BRASILIA,,,0,0,0,minhareceita,2026-09-03T23:41:41Z,2026-09-03T23:41:41Z,enrich
00417145,DISCOMED COMERCIO DE PRODUTOS HOSPITALARES LTDA,2062,DEMAIS,02,4645101,RS,PORTO ALEGRE,,,0,0,0,minhareceita,2026-09-03T23:38:51Z,2026-09-03T23:38:51Z,enrich
00466591,COBB-VANTRESS BRASIL LTDA,2062,DEMAIS,02,155502,SP,GUAPIACU,,,0,0,0,minhareceita,2026-09-03T23:41:07Z,2026-09-03T23:41:07Z,enrich
00474698,CAMINERO INDUSTRIA E COMERCIO DE OLEOS LTDA,2062,DEMAIS,02,1043100,SP,BARIRI,1436629499,,0,0,0,minhareceita,2026-09-03T23:39:00Z,2026-09-03T23:39:00Z,enrich
00474973,ESCRITORIO CENTRAL DE ARRECADACAO E DISTRIBUICAO ECAD,3999,DEMAIS,02,9493600,RJ,RIO DE JANEIRO,2135058500,,0,0,0,minhareceita,2026-09-03T23:41:23Z,2026-09-03T23:41:23Z,enrich
00677858,ARTE NATIVA PRODUTOS NATURAIS LTDA,2062,DEMAIS,02,1099607,MG,SAO JOSE DA LAPA,3131915426,,0,0,0,minhareceita,2026-09-03T23:46:41Z,2026-09-03T23:46:41Z,enrich
00714387,BRASMO INDUSTRIA E COMERCIO LTDA,2062,DEMAIS,02,3292202,SC,CHAPECO,4933223628,,0,0,0,minhareceita,2026-09-03T23:41:37Z,2026-09-03T23:41:37Z,enrich
00732684,G G VESTUARIO PROFISSIONAL LTDA,2062,DEMAIS,02,1412601,SC,VIDEIRA,4935662700,,0,0,0,minhareceita,2026-09-03T23:44:52Z,2026-09-03T23:44:52Z,enrich
00749526,SUPERFINE STEEL ACOS INOXIDAVEIS LTDA,2062,DEMAIS,02,2424501,SP,SANTA BARBARA D'OESTE,1131298590,,0,0,0,minhareceita,2026-09-03T23:40:46Z,2026-09-03T23:40:46Z,enrich
00763251,RAFITEC SOLUCOES EM PLASTICOS LTDA,2062,DEMAIS,02,1313800,SC,XAXIM,4933538383,,0,0,0,minhareceita,2026-09-03T23:39:46Z,2026-09-03T23:39:46Z,enrich
00774265,GSA GAMA SUCOS E ALIMENTOS LTDA.,2062,DEMAIS,02,1094500,GO,APARECIDA DE GOIANIA,6240066400,,0,0,0,minhareceita,2026-09-03T23:45:18Z,2026-09-03T23:45:18Z,enrich
00795423,BANCO SEMEAR S.A.,2054,DEMAIS,02,6422100,MG,BELO HORIZONTE,3135168000,,1,0,0,minhareceita,2026-09-03T23:36:59Z,2026-09-03T23:36:59Z,enrich
00802235,FIRST S/A,2054,DEMAIS,02,4689399,SP,SAO PAULO,1150548110,,0,0,0,minhareceita,2026-09-03T23:37:18Z,2026-09-03T23:37:18Z,enrich
00831373,LOUIS DREYFUS COMPANY SUCOS S.A,2054,DEMAIS,02,1033301,SP,SAO PAULO,1130397160,,0,0,0,minhareceita,2026-09-03T23:37:06Z,2026-09-03T23:37:06Z,enrich
00856973,E B COMERCIO DE PRODUTOS E SERVICOS NUTRICIONAIS S/A,2054,DEMAIS,04,4771702,ES,VILA VELHA,2835229755,,0,0,1,minhareceita,2026-09-03T23:46:21Z,2026-09-03T23:46:21Z,enrich
00872615,CPF COMERCIAL DE PARAFUSOS E FERRAGENS LTDA,2062,EMPRESA DE PEQUENO PORTE,02,2592601,SE,ARACAJU,7940090101,,0,0,0,minhareceita,2026-09-04T00:06:34Z,2026-09-04T00:06:34Z,enrich
00912882,GRUPO K1 S.A.,2054,DEMAIS,02,3101200,RS,TUPANDI,5136358800,,0,0,0,minhareceita,2026-09-03T23:41:26Z,2026-09-03T23:41:26Z,enrich
00939873,BRUSINOX INDUSTRIA COMERCIO MAQUINAS EQUIPAMENTOS LTDA.,2062,DEMAIS,02,2829199,SC,BRUSQUE,4733514500,,0,0,0,minhareceita,2026-09-03T23:39:40Z,2026-09-03T23:39:40Z,enrich
00974731,FRANGOS PIONEIRO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,2062,DEMAIS,02,1013901,PR,JOAQUIM TAVORA,4335598000,,0,0,0,minhareceita,2026-09-03T23:41:10Z,2026-09-03T23:41:10Z,enrich
00993264,INTEGRADA COOPERATIVA AGROINDUSTRIAL,2143,DEMAIS,02,4623199,PR,LONDRINA,4332947000,,0,0,0,minhareceita,2026-09-03T23:44:47Z,2026-09-03T23:44:47Z,enrich
01080512,SALESFORCE TECNOLOGIA LTDA,2062,DEMAIS,02,6202300,SP,SAO PAULO,1121103141,,0,0,0,minhareceita,2026-09-03T23:37:48Z,2026-09-03T23:37:48Z,enrich
