creditor,cnpj,case,old_amount,new_face_root_sum,delta,verdict,old_status
VINICOLA CAMPESTRE LTDA,98521909000270,0008526-45.2025.8.17.2001,9558482.85,13980345.50,4421862.65,CHANGED,
ADDIANTE S.A,48430290000130,0804401-51.2025.8.14.0039,7135516.97,7135516.97,,SAME,
SEMPRE AGTECH LTDA,09536120000263,0804401-51.2025.8.14.0039,2037616.99,2037616.99,,SAME,E-mailed
FERTILIZANTES TOCANTINS S.A,05571228000155,0804401-51.2025.8.14.0039,2016948.56,2016948.56,,SAME,E-mailed
TAG INDUSTRIA E LAMINACAO LTDA,33233778000108,8005129-09.2023.8.05.0039,1981695.98,64713515.06,62731819.08,CHANGED,CALLED
IBRAME INDUSTRIA BRASILEIRA DE METAIS S/A,60846599000534,8005129-09.2023.8.05.0039,815928.78,1359881.30,543952.52,CHANGED,E-mailed
COMARY INDUSTRIA DE BEBIDAS LTDA,29588019001316,0008526-45.2025.8.17.2001,407241.98,407241.98,,SAME,E-mailed
REDE FAMILIA DE COMUNICACAO LTDA,48393755000120,,325723.67,,,NOT_IN_NEW_RUN,
MTC INCORPORACOES IMOBILIARIAS LTDA,12749549000162,,309000.00,,,NOT_IN_NEW_RUN,
OPTIMUM CONSULTORIA EM GESTAO PUBLICA E EMPRESARIAL LTDA,10925045000120,0829315-43.2023.8.15.0001,267635.55,267635.55,,SAME,
SAFEGOLD GERENCIAMENTO DE CAPITAL LTDA,13177802000113,,203501.15,,,NOT_IN_NEW_RUN,
IRON COMEX LTDA,43464332000130,0008526-45.2025.8.17.2001,184223.97,334279.01,150055.04,CHANGED,
GEDOZ COMERCIO DE FERROS LTDA,87821278000299,,178822.70,,,NOT_IN_NEW_RUN,
BELMAN COMERCIO DE ACOS LTDA,02925166000144,,152754.49,,,NOT_IN_NEW_RUN,
M.C. ARRUDA ADMINISTRADORA DE BENS S.A.,14724478000179,0008526-45.2025.8.17.2001,107500.00,107500.00,,SAME,
ATEM'S DISTRIBUIDORA DE PETROLEO S.A.,03987364000103,0652260-87.2018.8.04.0001,103343.93,,,NOT_IN_NEW_RUN,
ACO CEARENSE INDUSTRIAL LTDA,00990842000308,0800778-16.2023.8.20.5104,99326.74,,,NOT_IN_NEW_RUN,
EMPRESA DE TERMOPLASTICOS DO NORDESTE ETENO LTDA,08516950000185,0800778-16.2023.8.20.5104,96123.94,296123.94,200000.00,CHANGED,
VEX PAINEIS LTDA,08142786000193,8005129-09.2023.8.05.0039,90775.00,,,NOT_IN_NEW_RUN,
HABILIS SERVICOS E TREINAMENTOS EM TECNOLOGIA LTDA,34720351000199,0008526-45.2025.8.17.2001,88848.14,,,NOT_IN_NEW_RUN,
MEGA PACK PLASTICOS S.A,19631376000203,0800778-16.2023.8.20.5104,84000.00,484000.00,400000.00,CHANGED,
AVANTE ADMINISTRACAO E COBRANCA LTDA,07918102000130,8005129-09.2023.8.05.0039,82500.00,,,NOT_IN_NEW_RUN,
SIND DOS TRABS NAS INDS MET MEC E DE MAT ELETRIC DE CXS,88662267000195,,72683.87,,,NOT_IN_NEW_RUN,
ATENA OPERADORA TURISTICA LTDA.,21575389000173,0820780-23.2026.8.14.0301,59285.71,,,NOT_IN_NEW_RUN,
DOMINIK COMERCIO E INDUSTRIA DE METAIS E EQUIPAMENTOS LTDA,72332794000363,8005129-09.2023.8.05.0039,56421.22,,,NOT_IN_NEW_RUN,
FUSOPAR PARAFUSOS LTDA,89135073000102,,55215.92,,,NOT_IN_NEW_RUN,
BRASKEM S.A,42150391003005,0800778-16.2023.8.20.5104,46729.62,146729.62,100000.00,CHANGED,
TRICHES FERRO E ACO LTDA,88610605000145,,41683.03,,,NOT_IN_NEW_RUN,
SIDERURGICA NORTE BRASIL S/A,07933914000154,0800778-16.2023.8.20.5104,40552.92,,,NOT_IN_NEW_RUN,
MULTIPLAX INDUSTRIA E COMERCIO DE PLASTICOS LTDA,09665178000550,0800778-16.2023.8.20.5104,38625.00,138625.00,100000.00,CHANGED,
INDUSTRIA DE TRANSFORMADORES AMAZONAS LTDA,15815491000104,0532018-89.2024.8.04.0001,37576.45,,,NOT_IN_NEW_RUN,
GRAFICA E EDITORA 3 DE MAIO LTDA,76817808000128,,33089.33,,,NOT_IN_NEW_RUN,
POLIMAQUINAS INDUSTRIA E COMERCIO LIMITADA,46142725000115,0800778-16.2023.8.20.5104,32399.97,,,NOT_IN_NEW_RUN,
ROTA SUL TRANSPORTE DE CARGAS LTDA,02442313000125,,31955.15,,,NOT_IN_NEW_RUN,
GEOFUSION SISTEMAS E SERVICOS DE INFORMATICA LTDA,10502273000198,0008526-45.2025.8.17.2001,30854.72,,,NOT_IN_NEW_RUN,
ELENKO SPORTS LTDA,21317529000103,0820780-23.2026.8.14.0301,27613.14,,,NOT_IN_NEW_RUN,
VALGROUP AM INDUSTRIA DE MASTERBATCH LTDA.,03071894000360,0800778-16.2023.8.20.5104,26655.00,226655.00,200000.00,CHANGED,
FEDERAL EXPRESS CORPORATION,00676486000182,,26451.14,,,NOT_IN_NEW_RUN,
UNIONLOG TRANSPORTES LTDA,20919807000130,,26280.65,,,NOT_IN_NEW_RUN,
"D'MARI - LOCACAO, TRANSPORTES E LOGISTICA LTDA",11970436000120,0008526-45.2025.8.17.2001,25714.19,,,NOT_IN_NEW_RUN,
ALUVID - INDUSTRIA E COMERCIO DE ALUMINIO E VIDROS LTDA,13158783000188,0800778-16.2023.8.20.5104,25178.72,,,NOT_IN_NEW_RUN,
TRANSPORTES CRISTOFOLI LTDA,88670104000154,,22603.62,,,NOT_IN_NEW_RUN,
IBOPE REPUCOM PESQUISAS ESPORTIVAS LTDA.,04618228000109,0820780-23.2026.8.14.0301,22145.10,,,NOT_IN_NEW_RUN,
SERVICO SOCIAL DA INDUSTRIA DA CONSTRUCAO C DE MANAUS,63692321000114,0532018-89.2024.8.04.0001,20755.62,,,NOT_IN_NEW_RUN,
SERASA S.A.,62173620009306,,20283.11,,,NOT_IN_NEW_RUN,
GRECCHI ADVOGADOS ASSOCIADOS,06119227000137,,20000.00,,,NOT_IN_NEW_RUN,
DANIEL ARRUDA ARQUITETOS SS LTDA,13384111000190,0532018-89.2024.8.04.0001,18750.00,,,NOT_IN_NEW_RUN,
SKA AUTOMACAO DE ENGENHARIAS LTDA,81329823000167,,17678.32,,,NOT_IN_NEW_RUN,
POLYBRAS - POLIMEROS BRASILEIROS LTDA,17799898000102,0800778-16.2023.8.20.5104,17457.66,217457.66,200000.00,CHANGED,
DELL COMPUTADORES DO BRASIL LTDA,72381189001001,0532018-89.2024.8.04.0001,17118.62,,,NOT_IN_NEW_RUN,
WIRECARD BRAZIL TECNOLOGIA LTDA,08718431000108,,16692.20,,,NOT_IN_NEW_RUN,
AVALARA BRASIL - ASSESSORIA E CONSULTORIA TRIBUTARIA E TECNOLOGICA LTDA,24918171000162,0008526-45.2025.8.17.2001,16537.50,,,NOT_IN_NEW_RUN,
TINTAS IQUINE LTDA.,09722463000131,0800778-16.2023.8.20.5104,16320.88,,,NOT_IN_NEW_RUN,
NOVA TRIGO RESINAS TERMOPLASTICAS LTDA.,07094272000147,,16275.00,,,NOT_IN_NEW_RUN,
BRASIL QUIMICA E MINERACAO INDUSTRIAL LTDA,24373276000183,0800778-16.2023.8.20.5104,13973.50,,,NOT_IN_NEW_RUN,
MARTINELLI ADVOCACIA EMPRESARIAL,01650515000108,,12843.96,,,NOT_IN_NEW_RUN,
CERAMICA SERRA AZUL LTDA,07378783000190,0800778-16.2023.8.20.5104,12517.38,,,NOT_IN_NEW_RUN,
CONDOMINIO INDUSTRIAL DO RIBEIRAO,05646097000128,8005129-09.2023.8.05.0039,12317.46,,,NOT_IN_NEW_RUN,
CLARO S.A.,40432544000147,0652260-87.2018.8.04.0001,12152.61,,,NOT_IN_NEW_RUN,
CASA DO ELETRICISTA LTDA,04415154000103,0652260-87.2018.8.04.0001,12152.61,,,NOT_IN_NEW_RUN,
MACROPECAS COMERCIAL LTDA,10179869000107,0652260-87.2018.8.04.0001,11986.75,,,NOT_IN_NEW_RUN,
GEOFUSION SISTEMAS E SERVICOS DE INFORMATICA LTDA,10502273000198,0532018-89.2024.8.04.0001,10785.17,,,NOT_IN_NEW_RUN,
CONDOMINIO LEVE-CASTANHEIRA RESIDENCIAL PARK,30686394000144,0532018-89.2024.8.04.0001,10707.09,,,NOT_IN_NEW_RUN,
RESIDENCIAL PREDILETTO PARQUE DEZ,43916601000151,0532018-89.2024.8.04.0001,10222.25,,,NOT_IN_NEW_RUN,
MUDANCAS SAMUCA LTDA,04559137000131,,9900.00,,,NOT_IN_NEW_RUN,
RECOM ETIQUETAS E EMBALAGENS LTDA,53797932000173,8005129-09.2023.8.05.0039,9764.48,,,NOT_IN_NEW_RUN,
TRANSPORTES MOBILINE LTDA,03341775000119,,9698.61,,,NOT_IN_NEW_RUN,
LOCALIZA FLEET S.A.,02286479000108,8005129-09.2023.8.05.0039,9529.60,,,NOT_IN_NEW_RUN,
AIR LIQUIDE BRASIL LTDA,00331788005420,,9171.65,,,NOT_IN_NEW_RUN,
ATUAL CARGAS TRANSPORTES LTDA,08848231001133,,8912.48,,,NOT_IN_NEW_RUN,
FRANCIMAR REPRESENTACOES LTDA,76823467000284,,8471.35,,,NOT_IN_NEW_RUN,
SERRA BRASIL TRANSPORTES LTDA,15334893000189,,8329.34,,,NOT_IN_NEW_RUN,
GOUVEA & CAMPANA LTDA,11949543000176,,7772.00,,,NOT_IN_NEW_RUN,
TELEFONICA CLOUD E TECNOLOGIA DO BRASIL S.A.,35473014000107,0804401-51.2025.8.14.0039,7694.61,,,NOT_IN_NEW_RUN,
ACO CEARENSE COMERCIAL LTDA,07557333001056,0800778-16.2023.8.20.5104,7605.90,,,NOT_IN_NEW_RUN,
GPBR PARTICIPACOES LTDA.,15664649000184,0008526-45.2025.8.17.2001,7338.93,,,NOT_IN_NEW_RUN,
TRANSPORTES RODOVIA SUL LTDA,90863325000190,,6981.59,,,NOT_IN_NEW_RUN,
PLANAC I. T. - COMERCIO DIGITAL LTDA,05592445000121,0532018-89.2024.8.04.0001,6971.81,,,NOT_IN_NEW_RUN,
BAKOF PLASTICOS LTDA EM RECUPERACAO JUDICIAL,91967067000317,0800778-16.2023.8.20.5104,6483.00,,,NOT_IN_NEW_RUN,
NANO EMBALAGENS LTDA,04577829000102,,5589.04,,,NOT_IN_NEW_RUN,
DECORACAO CASA 4 COMERCIO DE MOVEIS LTDA.,16604239000100,,5038.28,,,NOT_IN_NEW_RUN,
ALUSUPRA ALUMINIO LTDA,08329905000111,,5024.32,,,NOT_IN_NEW_RUN,
CL SUL TRANSPORTES LTDA,08025373000390,8005129-09.2023.8.05.0039,4900.00,,,NOT_IN_NEW_RUN,
DISMAFER DISTRIBUIDORA DE MAQUINAS E FERRAMENTAS LTDA,04112126000109,,4783.10,,,NOT_IN_NEW_RUN,
BUSARELLO COMERCIO ATACADISTA DE EMBALAGENS LTDA,09037969000101,,4717.50,,,NOT_IN_NEW_RUN,
NEOGRID INFORMATICA LTDA,05794609000101,0008526-45.2025.8.17.2001,4699.29,,,NOT_IN_NEW_RUN,
CROPFERT INDUSTRIA DE FERTILIZANTES E AGROQUIMICOS LTDA,18373437000136,0804401-51.2025.8.14.0039,467392.00,467392.00,,SAME,18373437000136
FRETEFY TECNOLOGIA S.A.,32998118000147,0008526-45.2025.8.17.2001,4317.08,,,NOT_IN_NEW_RUN,32998118000147
COLLEONY PRODUTOS E SISTEMAS PARA HIGIENIZACAO LTDA,02200306000117,,4085.00,,,NOT_IN_NEW_RUN,02200306000117
COMERCIAL DE BORRACHAS FASISA LTDA,88827555000152,,3764.80,,,NOT_IN_NEW_RUN,88827555000152
METALURGICA SCHIOPPA LTDA,61174652000137,,3297.20,,,NOT_IN_NEW_RUN,61174652000137
LEITZ FERRAMENTAS PARA MADEIRA LTDA,90815150000146,,3005.66,,,NOT_IN_NEW_RUN,90815150000146
ID CARGO BRASIL LTDA,20306967000103,,2991.70,,,NOT_IN_NEW_RUN,20306967000103
INDUSTRIAS ESPLANADA LTDA,04534459000126,0652260-87.2018.8.04.0001,2945.00,,,NOT_IN_NEW_RUN,04534459000126
DOMINALOG EXPRESS LOGISTICA INTEGRADA LTDA,18247063000102,,2892.10,,,NOT_IN_NEW_RUN,18247063000102
SOLIDES TECNOLOGIA S/A,10461302000110,0008526-45.2025.8.17.2001,2857.35,,,NOT_IN_NEW_RUN,10461302000110
MOVIDA LOCACAO DE VEICULOS S.A.,07976147000160,,2807.36,,,NOT_IN_NEW_RUN,07976147000160
TELEFONICA BRASIL S.A.,02558157001720,,2784.27,,,NOT_IN_NEW_RUN,02558157001720
ARQUIVEI SERVICOS ON LINE LTDA,19427033000140,0008526-45.2025.8.17.2001,2671.65,,,NOT_IN_NEW_RUN,19427033000140
ASIA SHIPPING TRANSPORTES INTERNACIONAIS LTDA,01137526000180,,2596.27,,,NOT_IN_NEW_RUN,01137526000180
ADAM DISTRIBUIDORA LTDA,03433636000115,,2576.15,,,NOT_IN_NEW_RUN,03433636000115
PETRYMAR TRANSPORTES LTDA,90605759000190,,2548.37,,,NOT_IN_NEW_RUN,90605759000190
COPIMAGEM GRAFICA DIGITAL LTDA,05898365000107,,2506.00,,,NOT_IN_NEW_RUN,05898365000107
ASSOCIACAO PROATIVA DO PARA - APPA,07611485000107,0820780-23.2026.8.14.0301,2479.03,,,NOT_IN_NEW_RUN,07611485000107
JOCLAMAR LTDA.,75795625000196,,2300.45,,,NOT_IN_NEW_RUN,75795625000196
TAYU QUIMICA LTDA,97493407000130,,2065.99,,,NOT_IN_NEW_RUN,97493407000130
CONNECT INFORMACOES E TECNOLOGIA SA,00850820000253,,2045.57,,,NOT_IN_NEW_RUN,00850820000253
AMERICAN CHAMBER OF COMMERCE FOR BRAZIL SAO PAULO,62044151000107,0008526-45.2025.8.17.2001,1988.68,,,NOT_IN_NEW_RUN,62044151000107
PERFIL INFORMATICA LTDA,83202192000146,,1900.00,,,NOT_IN_NEW_RUN,83202192000146
J.MARCANTE & CIA LTDA,91448977000202,,1816.68,,,NOT_IN_NEW_RUN,91448977000202
CJ METAIS E CONSTRUCOES LTDA - EM RECUPERACAO JUDICIAL,18282214000163,0800778-16.2023.8.20.5104,1636.33,,,NOT_IN_NEW_RUN,18282214000163
ESPANTALHO PNEUS LTDA,02314882000195,0652260-87.2018.8.04.0001,1510.92,,,NOT_IN_NEW_RUN,02314882000195
SOL A SOL TRANSPORTES LTDA,08152463000342,,1454.87,,,NOT_IN_NEW_RUN,08152463000342
MAQUIPEL-COMERCIO DE MAQUINAS E PECAS LTDA,02106579000288,0652260-87.2018.8.04.0001,1315.00,,,NOT_IN_NEW_RUN,02106579000288
JAMEF TRANSPORTES LTDA,20147617005887,0008526-45.2025.8.17.2001,1300.03,,,NOT_IN_NEW_RUN,20147617005887
FORMATO TRANSPORTES LTDA,13727240000215,8005129-09.2023.8.05.0039,1226.73,,,NOT_IN_NEW_RUN,13727240000215
MFREITAS ARQUITETURA E CONSULTORIA LTDA,12453103000196,0532018-89.2024.8.04.0001,1220.83,,,NOT_IN_NEW_RUN,12453103000196
DISTRIBUIDORA DE ACOS E METAIS TUBOMETAL LTDA,74519018000130,,1119.56,,,NOT_IN_NEW_RUN,74519018000130
FM IMPRESSOS PERSONALIZADOS LTDA.,13555994000154,8005129-09.2023.8.05.0039,1110.32,,,NOT_IN_NEW_RUN,13555994000154
BLUE TINTAS LTDA,01050029001112,8005129-09.2023.8.05.0039,1092.94,,,NOT_IN_NEW_RUN,01050029001112
TRANSPOTECH PECAS E SERVICOS LTDA,01964690000161,,1075.75,,,NOT_IN_NEW_RUN,01964690000161
STANDARD COMERCIO E SERVICOS ELETRICOS LTDA,82636820000139,,1002.75,,,NOT_IN_NEW_RUN,82636820000139
ASA BRANCA REPRESENTACOES LTDA,63461982000139,,927.04,,,NOT_IN_NEW_RUN,63461982000139
Acre (TJAC),08258183000151,0701986-79.2026.8.01.0002,,,,NOT_IN_NEW_RUN,Livia S. Cordeiro LTDA \
