doc_id,case_number,doc_type,publication_date,source_url,file_path,pages,printed_total_by_class,status,strategy,layout_id,notes,extracted_at,extracted_by
462c279a5c5eeaf4bb4c22769b2ec486754c6a9e,3309791-31.2005.8.21.0001,AJ_LIST,2013-09-17,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/falencia_documento11134908072022_1_.pdf&nome=05 - Edital do art. 7º, §2º da Lei 11.101/2005 (segunda lista de credores)",/home/user/Anteparo/data/pdfs/scalzilliaj.com.br/462c279a5c5eeaf4.pdf,1,[],OK_NO_TOTALS,PROSE,PROSE,prose_signal=0; fell back to PROSE; classIII=NO_ROWS,2026-09-03T23:18:38Z,ingest
b64759742011b8ac40d16ac7b6f332b337514ee6,0011283-80.2023.8.17.2001,UNKNOWN,2025-01-14,https://recuperacaojudicial.squarespace.com/s/0011283-8020238172001-1736865367684-401832-pub-edital-152739742.pdf,/home/user/Anteparo/data/pdfs/recuperacaojudicial.squarespace.com/b64759742011b8ac.pdf,5,[],OK_NO_TOTALS,TABLE,TABLE_BANDS,prose_signal=0; classIII=NO_ROWS,2026-09-03T23:18:38Z,ingest
787c09c8ff84c5c9aa94565be954172ecf5a9ee5,0720801-53.2008.8.21.0001,QGC,,https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/falencia_documento11171208072022_1_.pdf&nome=10 - Edital do art. 18 da Lei 11.101/2005 (quadro geral de credores),/home/user/Anteparo/data/pdfs/scalzilliaj.com.br/787c09c8ff84c5c9.pdf,1,[],OK_NO_TOTALS,TABLE,TABLE_BANDS,prose_signal=0; classIII=NO_ROWS,2026-09-03T23:18:38Z,ingest
8874249418db7b6ad423fb2c384819f58b084aa8,0011283-80.2023.8.17.2001,UNKNOWN,2025-12-15,https://recuperacaojudicial.squarespace.com/s/RJ-Clube-Nautico-Lista-de-Credores-Consolidada-em-10122025.pdf,/home/user/Anteparo/data/pdfs/recuperacaojudicial.squarespace.com/8874249418db7b6a.pdf,23,"[{""class"": null, ""currency"": ""BRL"", ""total"": ""172532257.10"", ""count"": null, ""page"": 7, ""section"": 0}, {""class"": null, ""currency"": ""BRL"", ""total"": ""95163734.52"", ""count"": null, ""page"": 7, ""section"": 1}, {""class"": ""I"", ""currency"": ""BRL"", ""total"": ""138462621.12"", ""count"": null, ""page"": 8, ""section"": -1}, {""class"": ""I"", ""currency"": ""BRL"", ""total"": ""138462621.12"", ""count"": null, ""page"": 9, ""section"": -1}, {""class"": ""I"", ""currency"": ""BRL"", ""total"": ""138462621.12"", ""count"": null, ""page"": 10, ""section"": -1}, {""class"": ""I"", ""currency"": ""BRL"", ""total"": ""138462621.12"", ""count"": null, ""page"": 11, ""section"": -1}, {""class"": ""I"", ""currency"": ""BRL"", ""total"": ""138462621.12"", ""count"": null, ""page"": 12, ""section"": -1}, {""class"": ""I"", ""currency"": ""BRL"", ""total"": ""138462621.12"", ""count"": null, ""page"": 13, ""section"": -1}, {""class"": ""I"", ""currency"": ""BRL"", ""total"": ""138462621.12"", ""count"": null, ""page"": 14, ""section"": -1}, {""class"": ""I"", ""currency"": ""BRL"", ""total"": ""138462621.12"", ""count"": null, ""page"": 15, ""section"": -1}, {""class"": ""I"", ""currency"": ""BRL"", ""total"": ""138462621.12"", ""count"": null, ""page"": 16, ""section"": -1}, {""class"": ""I"", ""currency"": ""BRL"", ""total"": ""138462621.12"", ""count"": null, ""page"": 17, ""section"": -1}, {""class"": ""I"", ""currency"": ""BRL"", ""total"": ""138462621.12"", ""count"": null, ""page"": 18, ""section"": -1}, {""class"": ""I"", ""currency"": ""BRL"", ""total"": ""138462621.12"", ""count"": null, ""page"": 19, ""section"": -1}, {""class"": ""III"", ""currency"": ""BRL"", ""total"": ""31847055.04"", ""count"": null, ""page"": 20, ""section"": -1}, {""class"": ""III"", ""currency"": ""BRL"", ""total"": ""31847055.04"", ""count"": null, ""page"": 21, ""section"": -1}, {""class"": ""IV"", ""currency"": ""BRL"", ""total"": ""2222580.94"", ""count"": null, ""page"": 22, ""section"": -1}, {""class"": null, ""currency"": ""BRL"", ""total"": ""95163734.52"", ""count"": null, ""page"": 23, ""section"": -1}]",OK,TABLE,TABLE_RULED,prose_signal=0; classIII=PASS,2026-09-03T23:19:23Z,ingest
05170e9cb468466bb613995f17c936e27d80b41c,0600328-51.2014.8.24.0031,DEBTOR_LIST,2016-02-01,https://administradorajudicialgs.com.br/wp-content/uploads/2023/08/doc-05-publicacao-relacao-credores-22-04-16.pdf,/home/user/Anteparo/data/pdfs/administradorajudicialgs.com.br/05170e9cb468466b.pdf,4,"[{""class"": ""I"", ""currency"": ""BRL"", ""total"": null, ""count"": null, ""page"": 3, ""section"": 2}, {""class"": ""III"", ""currency"": ""BRL"", ""total"": null, ""count"": null, ""page"": 3, ""section"": 3}]",OK_NO_TOTALS,PROSE,PROSE,prose_signal=0; fell back to PROSE; classIII=NO_TOTAL,2026-09-03T23:19:23Z,ingest
d7b9727595c449a73c25d87042c59949a93438e4,5031539-94.2025.8.21.0022,UNKNOWN,,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento17400412062026_1_.pdf&nome=06. Relação de credores do art. 7, § 2",/home/user/Anteparo/data/pdfs/scalzilliaj.com.br/d7b9727595c449a7.pdf,1,[],NO_TEXT_LAYER,NONE,,NO_TEXT_LAYER: needs OCR; CASE_FROM_PAGE; classIII=NO_ROWS,2026-09-03T23:19:23Z,ingest
5e274422f357dd0f379911316ae57f39a8baebb4,0007565-40.2020.8.17.2370,QGC,2016-04-13,https://recuperacaojudicial.squarespace.com/s/RJ-Credimoveis-Publicaco-Edital-art-52-1-1-Lista-de-Credores.pdf,/home/user/Anteparo/data/pdfs/recuperacaojudicial.squarespace.com/5e274422f357dd0f.pdf,6,"[{""class"": ""I"", ""currency"": ""BRL"", ""total"": null, ""count"": 537, ""page"": 3, ""section"": 1}, {""class"": ""III"", ""currency"": ""BRL"", ""total"": null, ""count"": 110, ""page"": 3, ""section"": 2}, {""class"": ""IV"", ""currency"": ""BRL"", ""total"": null, ""count"": 12, ""page"": 3, ""section"": 3}, {""class"": ""I"", ""currency"": ""BRL"", ""total"": null, ""count"": 537, ""page"": 3, ""section"": 4}, {""class"": ""III"", ""currency"": ""BRL"", ""total"": null, ""count"": 110, ""page"": 5, ""section"": 5}, {""class"": ""IV"", ""currency"": ""BRL"", ""total"": null, ""count"": 12, ""page"": 6, ""section"": 6}]",OK,PROSE,PROSE,prose_signal=0; fell back to PROSE; classIII=PASS,2026-09-03T23:19:23Z,ingest
ad3f7bb689f88ceff66ba58589c4fab64693de84,5000298-02.2017.8.21.0049,AJ_LIST,,https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15521717062026_1_.pdf&nome=07 - Segunda Lista de Credores,/home/user/Anteparo/data/pdfs/scalzilliaj.com.br/ad3f7bb689f88cef.pdf,1,[],OK_NO_TOTALS,PROSE,PROSE,prose_signal=0; fell back to PROSE; classIII=NO_ROWS,2026-09-03T23:19:23Z,ingest
9b7c6076f0b43c8e27042dfd21d3161fa3c7b35b,0311937-30.2016.8.24.0033,UNKNOWN,,https://administradorajudicialgs.com.br/wp-content/uploads/2023/08/doc-02-relacao-de-credores-1.pdf,/home/user/Anteparo/data/pdfs/administradorajudicialgs.com.br/9b7c6076f0b43c8e.pdf,53,[],OK_NO_TOTALS,TABLE,TABLE_RULED,prose_signal=0; CASE_FROM_PAGE; classIII=NO_ROWS,2026-09-03T23:19:23Z,ingest
1cc45d7d75e9a257a40003ed1cc459f38f0fe067,0000010-28.1988.8.24.0032,QGC,2020-10-14,https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15570910062026_1_.pdf&nome=04. Quadro Geral de Credores provisório (29.04.2026),/home/user/Anteparo/data/pdfs/scalzilliaj.com.br/1cc45d7d75e9a257.pdf,13,[],OK_NO_TOTALS,TABLE,TABLE_RULED,prose_signal=0; CASE_FROM_PAGE; classIII=NO_ROWS,2026-09-03T23:19:43Z,ingest
