cnpj_basico,case_number,class_iii_face_sum,establishment_cnpjs,claim_count,debtor_name,stage,is_related_party,above_floor,band,doc_id,creditor_name_as_printed,flags,extracted_at,extracted_by
45741898,0000472-94.2012.5.06.0193,860209703.42,45741898000197,5,SCZ Scalzilli Administração Judicial,,,1,FLOOR,24ed98480a572989bb0ce06fbd92e30151b7c249,Operação atual n° 16/30209-5; Operação atual n° 16/30210- 9;Operação atual n° 16/30211- 7;Operação atual n° 16/30212- 5;Operação atual n° 16/30213- 3;Operação atual n° 16/30214- 1;Operação atual n° 16/30219- 2;Operação atual n° 16/30220- 6;Operação atual n° 16/30221- 4;Operação atual n° 16/30222- 2;Operação atual n° 16/30225- 7;Operação atual n° 16/30226- 5;Operação atual n° 16/30227- 3;Operação atual n° 16/30228- 1;Operação atual n° 16/30230- 3;Operação atual n° 16/30231- 1;Operação atual n° 16/30232- X;Operação atual n° 16/30233- 8;Operação atual n° 16/30234- 6;Operação atual n° 16/30235- 4;Operação atual n° 16/30236- 2;Operação atual n° 16/30237- 0;Operação atual n° 16/30239- 7;Operação atual n° 16/30240- 0;Operação atual n° 16/30241- 9;Operação atual n° 16/30242- 7;Operação atual n° 16/30243- 5;Operação atual n° 16/30263- X;Operação atual n° 16/30264- 8;Operação atual n° 16/30265- 6;Operação atual n° 18/61539- 2;Operação atual n° 18/61540-6,"ROWS:p74r14,p74r15,p75r1,p75r2,p75r3|VALUE_COL:Valor_Atualizado",2026-09-03T23:36:47Z,build
00360305,0000472-94.2012.5.06.0193,426018950.32,00360305000104,1,SCZ Scalzilli Administração Judicial,,,1,FLOOR,24ed98480a572989bb0ce06fbd92e30151b7c249,"Rua Tupinambás, n. 486, Bairro Centro, Belo Horizonte/MG",ROWS:p63r17|VALUE_COL:Valor_Atualizado,2026-09-03T23:36:47Z,build
33000167,0000472-94.2012.5.06.0193,330054762.86,33000167000101,1,SCZ Scalzilli Administração Judicial,,,1,FLOOR,24ed98480a572989bb0ce06fbd92e30151b7c249,"Av. República do Chile n.º 65, 5º andar, Centro, CEP 20031-912 - Rio de Janeiro/RJ",ROWS:p71r9|VALUE_COL:Valor_Atualizado,2026-09-03T23:36:47Z,build
76483726,0016033-22.2025.8.16.0017,178052183.86,76483726000194,1,KADIMA EMPREENDIMENTOS subscrevi e assinei. E PARTICIPAÇÕES S.A,,,1,FLOOR,fcb10a251582ff4fff1b8864bf38719cc11c0e03,DM Construtora de Obras LTDA,ROWS:p4r8,2026-09-03T23:36:48Z,build
60746948,0000472-94.2012.5.06.0193,166745196.81,60746948000112,1,SCZ Scalzilli Administração Judicial,,,1,FLOOR,24ed98480a572989bb0ce06fbd92e30151b7c249,"Cidade de Deus, s/n - Vila Yara, Osasco - SP, CEP: 06029-900",ROWS:p62r14|VALUE_COL:Valor_Atualizado,2026-09-03T23:36:47Z,build
33124959,0000472-94.2012.5.06.0193,91334195.52,33124959000198,1,SCZ Scalzilli Administração Judicial,,,1,FLOOR,24ed98480a572989bb0ce06fbd92e30151b7c249,"Rua Rio de Janeiro, n°. 927, 14° andar, Centro, Belo Horizonte, CEP: 30.160-04",ROWS:p62r16|VALUE_COL:Valor_Atualizado,2026-09-03T23:36:47Z,build
07450604,0000472-94.2012.5.06.0193,84072313.37,07450604000189,1,SCZ Scalzilli Administração Judicial,,,1,FLOOR,24ed98480a572989bb0ce06fbd92e30151b7c249,"Avenida Brigadeiro Faria Lima, nº 4.400, Bairro Itaim Bibi, São Paulo/SP, CEP: 04538-132",ROWS:p64r8|VALUE_COL:Valor_Atualizado,2026-09-03T23:36:47Z,build
90400888,0000472-94.2012.5.06.0193,81755024.22,90400888000142,1,SCZ Scalzilli Administração Judicial,,,1,FLOOR,24ed98480a572989bb0ce06fbd92e30151b7c249,"Avenida Presidente JuscelinoKubitschek, nºs 2041 e 2235 – Bloco A, Vila Olímpia, São Paulo/SP",ROWS:p62r17|VALUE_COL:Valor_Atualizado,2026-09-03T23:36:47Z,build
59588111,0000472-94.2012.5.06.0193,65326446.86,59588111000103,1,SCZ Scalzilli Administração Judicial,,,1,FLOOR,24ed98480a572989bb0ce06fbd92e30151b7c249,"Avenida Nações Unidas nº 14.171, Torre A, 18º andar - São Paulo/SP",ROWS:p63r1|VALUE_COL:Valor_Atualizado,2026-09-03T23:36:47Z,build
33233778,8005129-09.2023.8.05.0039,64713515.06,33233778000108,2,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,TAG INDUSTRIA E LAMINACAO LTDA,"ROWS:p10r4,p19r8|UNRECONCILED_SOURCE",2026-09-03T23:36:47Z,build
