cnpj_basico,razao_social,natureza_juridica,porte,situacao_cadastral,cnae_principal,uf,municipio,phone,email,is_bank,is_public,is_inactive,rfb_source,rfb_fetched_at,extracted_at,extracted_by
00000000,BANCO DO BRASIL SA,2038,DEMAIS,02,6422100,DF,BRASILIA,6134939002,,1,0,0,minhareceita,2026-09-03T23:42:08Z,2026-09-03T23:42:08Z,enrich
00360305,CAIXA ECONOMICA FEDERAL,2011,DEMAIS,02,6423900,DF,BRASILIA,0040040104,,1,0,0,minhareceita,2026-09-03T23:44:37Z,2026-09-03T23:44:37Z,enrich
00466591,COBB-VANTRESS BRASIL LTDA,2062,DEMAIS,02,155502,SP,GUAPIACU,,,0,0,0,minhareceita,2026-09-03T23:41:07Z,2026-09-03T23:41:07Z,enrich
01440590,FRESENIUS MEDICAL CARE LTDA,2062,DEMAIS,02,2121101,SP,JAGUARIUNA,1938479700,,0,0,0,minhareceita,2026-09-03T23:37:03Z,2026-09-03T23:37:03Z,enrich
01701201,KIRTON BANK S.A. - BANCO MULTIPLO,2054,DEMAIS,02,6422100,SP,OSASCO,1136843884,,1,0,0,minhareceita,2026-09-03T23:40:38Z,2026-09-03T23:40:38Z,enrich
01789121,ALBAUGH AGRO BRASIL LTDA.,2062,DEMAIS,02,2051700,SP,SAO PAULO,1130764243,,0,0,0,minhareceita,2026-09-03T23:37:12Z,2026-09-03T23:37:12Z,enrich
02291660,L D NUNES,2135,EMPRESA DE PEQUENO PORTE,02,1013902,RN,MACAIBA,,,0,0,0,minhareceita,2026-09-03T23:41:54Z,2026-09-03T23:41:54Z,enrich
02435301,SIAGRI SISTEMAS DE GESTAO LTDA,2062,DEMAIS,02,6202300,GO,RIO VERDE,6436201550,,0,0,0,minhareceita,2026-09-03T23:45:33Z,2026-09-03T23:45:33Z,enrich
03143730,SECRETARIA EXECUTIVA DE ESPORTE E LAZER,1023,DEMAIS,02,9319199,PA,BELEM,9132012300,,0,1,0,minhareceita,2026-09-03T23:42:06Z,2026-09-03T23:42:06Z,enrich
03161388,MASTERSENSE INGREDIENTES ALIMENTICIOS LTDA,2062,DEMAIS,02,4639701,SP,JUNDIAI,1131093108,,0,0,0,minhareceita,2026-09-03T23:46:37Z,2026-09-03T23:46:37Z,enrich
03981899,JF PASQUA CONDUTORES ELETRICOS LTDA,2062,DEMAIS,02,2443100,MG,GUAXUPE,3535596789,,0,0,0,minhareceita,2026-09-03T23:37:32Z,2026-09-03T23:37:32Z,enrich
