cnpj_basico,case_number,class_iii_face_sum,establishment_cnpjs,claim_count,debtor_name,stage,is_related_party,above_floor,band,doc_id,creditor_name_as_printed,flags,extracted_at,extracted_by
33233778,8005129-09.2023.8.05.0039,64713515.06,33233778000108,2,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,TAG INDUSTRIA E LAMINACAO LTDA,"ROWS:p10r4,p19r8|UNRECONCILED_SOURCE",2026-09-03T23:03:32Z,build
00000000,8005129-09.2023.8.05.0039,43161497.61,00000000000191,2,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,BANCO DO BRASIL,"ROWS:p5r9,p17r3|UNRECONCILED_SOURCE|VALUE_COL:Valor_Do_Crédito_2º_Edital_De_Credores",2026-09-03T23:03:32Z,build
12428086,8005129-09.2023.8.05.0039,14857604.68,12428086000137,3,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS MULTISSETORIA L BS NP,"ROWS:p7r8,p10r1,p18r2|UNRECONCILED_SOURCE",2026-09-03T23:03:32Z,build
01440590,,14567733.99,01440590000136,1,,,,1,FLOOR,6a92d74da333ce21f5461767626e7ff05b8f474a,FRESENIUS MEDICAL CARE LTDA,CASE_NUMBER_MISSING|ROWS:p3r16,2026-09-03T23:03:32Z,build
98521909,0008526-45.2025.8.17.2001,13980345.50,98521909000190|98521909000270,2,E FALENCIA,,,1,FLOOR,1658892fa167d2330f5086c9fbc19999d00549f1,VINICOLA CAMPESTRE LTDA,"ROWS:p5r60,p5r61",2026-09-03T23:03:32Z,build
01789121,0804401-51.2025.8.14.0039,11525550.26,01789121000470|01789121000984|01789121001107,1,SOJAL COMERCIA,,,1,FLOOR,c56751547323616443dc07ccc6d6c553539dec25,ALBAUGH AGRO BRASIL LTDA,ROWS:p1r4,2026-09-03T23:03:32Z,build
48430290,0804401-51.2025.8.14.0039,7135516.97,48430290000130,1,SOJAL COMERCIA,,,1,FLOOR,c56751547323616443dc07ccc6d6c553539dec25,ADDIANTE S.A,ROWS:p1r2,2026-09-03T23:03:32Z,build
21203489,0804401-51.2025.8.14.0039,7058181.50,21203489000764|21203489000926,1,SOJAL COMERCIA,,,1,FLOOR,c56751547323616443dc07ccc6d6c553539dec25,SOLUS INDUSTRIA QUIMICA LTDA,ROWS:p2r10,2026-09-03T23:03:32Z,build
15626673,0804401-51.2025.8.14.0039,6258845.34,15626673000129|15626673000390|15626673000552,1,SOJAL COMERCIA,,,1,FLOOR,c56751547323616443dc07ccc6d6c553539dec25,NORTESUL COMERCIAL AGRICOLA LTDA,ROWS:p2r5,2026-09-03T23:03:32Z,build
47151680,0804401-51.2025.8.14.0039,5767665.60,31652424000164|47151680000108,1,SOJAL COMERCIA,,,1,FLOOR,c56751547323616443dc07ccc6d6c553539dec25,FARM TECH IBBA I FIDC,MULTI_ROOT|ROWS:p1r13,2026-09-03T23:03:32Z,build
60889128,8005129-09.2023.8.05.0039,5733764.93,60889128000180,1,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,BANCO SOFISA S.A.,ROWS:p5r13|UNRECONCILED_SOURCE|VALUE_COL:Valor_Do_Crédito_2º_Edital_De_Credores,2026-09-03T23:03:32Z,build
07237373,0008526-45.2025.8.17.2001,5413142.01,07237373019220,1,E FALENCIA,,,1,FLOOR,1658892fa167d2330f5086c9fbc19999d00549f1,BANCO DO NORDESTE DO BRASIL SA,ROWS:p5r66,2026-09-03T23:03:32Z,build
60701190,0008526-45.2025.8.17.2001,5337705.09,60701190000104,1,E FALENCIA,,,1,FLOOR,1658892fa167d2330f5086c9fbc19999d00549f1,ITAU UNIBANCO S.A,ROWS:p5r56,2026-09-03T23:03:32Z,build
03981899,8005129-09.2023.8.05.0039,4940520.91,03981899000169,2,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,JF PASQUA CONDUTORES ELETRICOS LTDA,"ROWS:p8r4,p18r6|UNRECONCILED_SOURCE",2026-09-03T23:03:32Z,build
00360305,8005129-09.2023.8.05.0039,4585036.12,00360305000104,2,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,CAIXA ECONOMICA FEDERAL,"ROWS:p6r3,p17r8|UNRECONCILED_SOURCE|VALUE_COL:Valor_Do_Crédito_2º_Edital_De_Credores",2026-09-03T23:03:32Z,build
20889236,8005129-09.2023.8.05.0039,4168615.02,20889236000138,1,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,INDUSCOPPER METAIS LTDA,ROWS:p7r13|UNRECONCILED_SOURCE,2026-09-03T23:03:32Z,build
09123654,0829315-43.2023.8.15.0001,3641949.67,09123654000187,1,"consta no Doc 04 aqui acostado, servindo a Rua Padre Carapuceiro, 706, Empresa",,,1,FLOOR,47e92e4db6f8d9b004d158805b0150b0d5f22a9e,COMPANHIA DE ÁGUA E ESGOTOS DA PARAIBA CAGEPA,ROWS:p3r16,2026-09-03T23:03:32Z,build
33721490,8005129-09.2023.8.05.0039,3539955.57,33721490000174,1,e na falência,,,1,FLOOR,a0ae32a59c2928e385c610811f80949f98723486,METAL CREDIT,ROWS:p9r2|UNRECONCILED_SOURCE,2026-09-03T23:03:32Z,build
