creditor_name,cnpj,case_number,amount_old,status_old,source_url,raw
VINICOLA CAMPESTRE LTDA,98521909000270,0008526-45.2025.8.17.2001,9558482.85,,https://diligence.adm.br/wp-content/uploads/2025/06/Edital-1a-Lista-de-Credores.pdf,"VINICOLA CAMPESTRE LTDA |  |  |  |  |  | 98521909000270 | ATIVA | ARRUDA & MELO REPRESENTACAO DE ALIMENTOS E BEBIDAS LTDA | 0008526-45.2025.8.17.2001 | III - QUIROGRAFÁRIO | R$ 9,558,482.85 |  |  |  | TRUSTED_NAME_ALIGNED | 0.692 | PROVISIONAL_CLASS_III_CANDIDATE | Pernambuco (TJPE) | RS | VACARIA |"
ADDIANTE S.A,48430290000130,0804401-51.2025.8.14.0039,7135516.97,,https://lrflideres.com.br/wp-content/plugins/download-attachments/includes/download.php?id=6879,"ADDIANTE S.A |  |  |  |  |  | 48430290000130 | ATIVA | SOJAL COMERCIAL AGRICOLA LTDA e outros | 0804401-51.2025.8.14.0039 | III - QUIROGRAFÁRIO | R$ 7,135,516.97 |  |  |  | TRUSTED_NAME_ALIGNED | 0.632 | PROVISIONAL_CLASS_III_CANDIDATE | Pará (TJPA) | PR | CURITIBA | Locação de outros meios de trans"
SEMPRE AGTECH LTDA,09536120000263,0804401-51.2025.8.14.0039,2037616.99,E-mailed,https://lrflideres.com.br/wp-content/plugins/download-attachments/includes/download.php?id=6879,"SEMPRE AGTECH LTDA | E-mailed |  |  |  |  | 09536120000263 | ATIVA | SOJAL COMERCIAL AGRICOLA LTDA e outros | 0804401-51.2025.8.14.0039 | III - QUIROGRAFÁRIO | R$ 2,037,616.99 |  |  |  | TRUSTED_NAME_ALIGNED | 0.632 | PROVISIONAL_CLASS_III_CANDIDATE | Pará (TJPA) | GO | SANTA HELENA DE GOIAS | Produ"
FERTILIZANTES TOCANTINS S.A,05571228000155,0804401-51.2025.8.14.0039,2016948.56,E-mailed,https://lrflideres.com.br/wp-content/plugins/download-attachments/includes/download.php?id=6879,"FERTILIZANTES TOCANTINS S.A | E-mailed |  |  |  |  | 05571228000155 | ATIVA | SOJAL COMERCIAL AGRICOLA LTDA e outros | 0804401-51.2025.8.14.0039 | III - QUIROGRAFÁRIO | R$ 2,016,948.56 |  |  |  | TRUSTED_NAME_ALIGNED | 0.806 | PROVISIONAL_CLASS_III_CANDIDATE | Pará (TJPA) | TO | PORTO NACIONAL | Fab"
TAG INDUSTRIA E LAMINACAO LTDA,33233778000108,8005129-09.2023.8.05.0039,1981695.98,CALLED,https://assistjud.com.br/wp-content/uploads/elementor/forms/65098c80a5824.pdf,"TAG INDUSTRIA E LAMINACAO LTDA | CALLED |  |  |  | Cleilton referrred me to Paulo | 33233778000108 | ATIVA | Conduscabos Brasil Indústria Comércio de Condutores Elétricos LTDA. | 8005129-09.2023.8.05.0039 | III - QUIROGRAFÁRIO | R$ 1,981,695.98 |  |  |  | TRUSTED_NAME_ALIGNED | 0.651 | PROVISIONAL_C"
IBRAME INDUSTRIA BRASILEIRA DE METAIS S/A,60846599000534,8005129-09.2023.8.05.0039,815928.78,E-mailed,https://assistjud.com.br/wp-content/uploads/elementor/forms/65098c80a5824.pdf,"IBRAME INDUSTRIA BRASILEIRA DE METAIS S/A | E-mailed | Flavio | 55 11 5632-3258 | HQ - 55 11 5632-3229 |  | 60846599000534 | ATIVA | Conduscabos Brasil Indústria Comércio de Condutores Elétricos LTDA. | 8005129-09.2023.8.05.0039 | III - QUIROGRAFÁRIO | R$ 815,928.78 | 203982.195 | 122389.317 | 81592"
COMARY INDUSTRIA DE BEBIDAS LTDA,29588019001316,0008526-45.2025.8.17.2001,407241.98,E-mailed,https://diligence.adm.br/wp-content/uploads/2025/06/Edital-1a-Lista-de-Credores.pdf,"COMARY INDUSTRIA DE BEBIDAS LTDA | E-mailed | Juliana Cristina Pereira | 021 2152-4000 |  | Spoke to a really nice JUliana Maderia | 29588019001316 | ATIVA | ARRUDA & MELO REPRESENTACAO DE ALIMENTOS E BEBIDAS LTDA | 0008526-45.2025.8.17.2001 | III - QUIROGRAFÁRIO | R$ 407,241.98 |  |  |  | TRUSTED_N"
REDE FAMILIA DE COMUNICACAO LTDA,48393755000120,,325723.67,,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","REDE FAMILIA DE COMUNICACAO LTDA |  |  |  |  |  | 48393755000120 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 325,723.67 |  |  |  | TRUSTED_NAME_ALIGNED | 0.831 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | SP | LIMEIRA | Atividades "
MTC INCORPORACOES IMOBILIARIAS LTDA,12749549000162,,309000.00,,"https://scalzilliaj.com.br/sgc/download.php?file=files/processo_documento/processo_documento15513401112022_1_.pdf\&nome=15%20-%20Edital%20do%20art.%207%C2%BA,%20%C2%A72%C2%BA%20(segunda%20lista%20de%20credores)%20e%20do%20art.%2053%20da%20Lei%2011.101/2005%20(recebimento%20do%20plano)","MTC INCORPORACOES IMOBILIARIAS LTDA |  |  |  |  |  | 12749549000162 | ATIVA | Vector Indústria de Produtos Metalúrgicos Ltda. (Arke) |  | III - QUIROGRAFÁRIO | R$ 309,000.00 |  |  |  | TRUSTED_NAME_ALIGNED | 0.929 | PROVISIONAL_CLASS_III_CANDIDATE | Rio Grande do Sul (TJRS) | RS | CAXIAS DO SUL | In"
OPTIMUM CONSULTORIA EM GESTAO PUBLICA E EMPRESARIAL LTDA,10925045000120,0829315-43.2023.8.15.0001,267635.55,,https://lrflideres.com.br/wp-content/plugins/download-attachments/includes/download.php?id=5828,"OPTIMUM CONSULTORIA EM GESTAO PUBLICA E EMPRESARIAL LTDA |  |  |  |  |  | 10925045000120 | ATIVA | TREZE FUTEBOL CLUBE | 0829315-43.2023.8.15.0001 | III - QUIROGRAFÁRIO | R$ 267,635.55 |  |  |  | TRUSTED_NAME_ALIGNED | 0.841 | PROVISIONAL_CLASS_III_CANDIDATE | Paraíba (TJPB) | PB | CAMPINA GRANDE | "
