case_number,debtor_name,debtor_cnpj,cnpj_source,name_match,razao_social,situacao,situacao_desc,porte,capital_social,uf,municipio,cnae_desc,rfb_source,band,band_reasons,plan_status,stage,filing_year,last_movement,updated_at,display_name,display_source,verified_name,verified_cnpj,group_members,administrator,proceeding,verified_confidence,verified_evidence,verified_at
0000007-32.1977.8.24.0041,e Extrajudicia,,,,,,,,,,,,,C,"49y since filing, no plan document",UNKNOWN,,1977,,2026-09-04T16:58:31Z,e Extrajudicia,hint,,,,,,,,
0000010-28.1988.8.24.0032,SCZ Scalzilli Administração Judicial,,,,,,,,,,,,,C,"38y since filing, no plan document",UNKNOWN,,1988,,2026-09-04T16:58:31Z,,,,,,,,,,
0000063-19.1995.8.24.0014,SCZ Scalzilli Administração Judicial,,,,,,,,,,,,,C,"31y since filing, no plan document",UNKNOWN,,1995,,2026-09-04T16:58:31Z,,,,,,,,,,
0000148-67.1996.8.24.0079,Base | AJ RUIZ - Administração Judicial,,,,,,,,,,,,,C,"30y since filing, no plan document",UNKNOWN,,1996,,2026-09-04T16:58:31Z,,,,,,,,,,
0000206-69.2013.8.17.1340,AGROPECUÁRIA SERROTE REDONDO – LRF Líderes em Recuperação Judicial e Falência,,,,,,,,,,,,,C,"13y since filing, no plan document",UNKNOWN,,2013,,2026-09-04T16:58:31Z,AGROPECUÁRIA SERROTE REDONDO,hint,,,,,,,,
0000206-72.2017.8.17.2490,E FALENCIA,23062374000137,doc:b6a1c955 score=5,1.0,DILIGENCE ADMINISTRACAO EM RECUPERACAO JUDICIAL E FALENCIA LTDA.,02,ATIVA,EMPRESA DE PEQUENO PORTE,10000,PE,RECIFE,Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente,minhareceita,C,"9y since filing, no plan document",UNKNOWN,,2017,,2026-09-04T16:58:31Z,DILIGENCE ADMINISTRACAO EM RECUPERACAO JUDICIAL E FALENCIA LTDA.,rfb,,,,,,,,
0000335-78.2024.8.26.0260,"GateKeeper | Recuperação Judicial em São Paulo – Ética, técnica e profissionalismo na administração judicial de processos de recuperação e falência.",,,,,,,,,,,,,B,"live case, no plan document yet",UNKNOWN,,2024,,2026-09-04T16:58:31Z,GateKeeper,hint,,,,,,,,
0000357-17.2024.8.16.0131,Marques Administrações Judiciais,12433661000190,reader,0.358974358974359,JUARIZA SUPERMERCADO LTDA,,,,,,,,NAME_MISMATCH,B,"live case, no plan document yet",ESTIMATED,ACTIVE,2024,2026-06-30,2026-09-04T16:58:31Z,Grupo Battisti,pdf-read,Grupo Battisti,12433661000190,"[""JUARIZA SUPERMERCADO LTDA"", ""BTT – PISCICULTURA E ADMINISTRAÇÃO DE NEGÓCIOS LTDA"", ""M. B. BATTISTI""]",M. MARQUES SOCIEDADE INDIVIDUAL DE ADVOCACIA (Marques Administrações Judiciais – Marcio Roberto Marques),RJ,0.97,"[341bab05 p.1] 'RELAÇÃO GERAL DE CREDORES … JUARIZA SUPERMERCADO LTDA, BTT – PISCICULTURA E ADMINISTRAÇÃO DE NEGÓCIOS LTDA e M. B. BATTISTI … 12.433.661/0001-90 / 20.209.310/0001-28 / 19.613.420/0001-71 … RELAÇÃO DA AJ (art. 7º, § 2º, LRF)'; [96830f5e p.1] 'RECUPERAÇÃO JUDICIAL nº 0000357-17.2024.8.16.0131 … por JUARIZA SUPERMERCADO LTDA'",2026-09-04T16:58:30Z
0000357-47.2014.8.24.0033,AMPEX BRASIL EMPREENDIMENTOS COMERCIAIS INDUSTRIALIZAÇÃO E PARTICIPAÇÕES LTDA – Sgrott Administradora Judicial e Consultoria Empresarial,42472886000116,doc:d249243f score=3,0.41081081081081083,ASSOCIACAO BRASILEIRA DE EMPRESAS DE COMERCIO EXTERIOR,,,,,,,,NAME_MISMATCH,C,"12y since filing, no plan document",UNKNOWN,,2014,,2026-09-04T16:58:31Z,AMPEX BRASIL EMPREENDIMENTOS COMERCIAIS INDUSTRIALIZAÇÃO E PARTICIPAÇÕES LTDA,hint,,,,,,,,
0000377-15.2000.8.24.0070,FÁBRICA DE MÓVEIS SANTA IZABEL LTDA – Sgrott Administradora Judicial e Consultoria Empresarial,,,,,,,,,,,,,C,"26y since filing, no plan document",UNKNOWN,,2000,,2026-09-04T16:58:31Z,FÁBRICA DE MÓVEIS SANTA IZABEL LTDA,hint,,,,,,,,
